local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000004,Bexley,E01000470,Bexley 002F,210000,
E09000032,Wandsworth,E01004568,Wandsworth 013A,,
E09000010,Enfield,E01001483,Enfield 025A,219000,177500
E09000004,Bexley,E01000464,Bexley 002D,,
E09000014,Haringey,E01002082,Haringey 013A,169000,
E09000002,Barking and Dagenham,E01000105,Barking and Dagenham 014C,271000,280000
E09000002,Barking and Dagenham,E01000106,Barking and Dagenham 014D,182500,360000
E09000010,Enfield,E01001461,Enfield 027D,395000,265000
E09000010,Enfield,E01001558,Enfield 033E,303000,345000
E09000004,Bexley,E01000404,Bexley 004B,203500,210000
E09000009,Ealing,E01001330,Ealing 008D,250000,
E09000010,Enfield,E01001554,Enfield 037C,,
E09000004,Bexley,E01000403,Bexley 004A,232500,232500
E09000028,Southwark,E01003912,Southwark 019A,315000,
E09000026,Redbridge,E01003785,Redbridge 029C,215500,236500
E09000024,Merton,E01003373,Merton 018A,286750,
E09000002,Barking and Dagenham,E01033588,Barking and Dagenham 021F,205000,
E09000004,Bexley,E01000402,Bexley 005B,215000,230000
E09000002,Barking and Dagenham,E01000093,Barking and Dagenham 022B,195000,255000
E09000004,Bexley,E01000467,Bexley 001B,208500,240000
E09000011,Greenwich,E01001711,Greenwich 004C,220000,237500
E09000004,Bexley,E01000380,Bexley 010D,212000,197500
E09000023,Lewisham,E01003297,Lewisham 003A,236000,240000
E09000028,Southwark,E01004040,Southwark 013C,,
E09000008,Croydon,E01001011,Croydon 019E,271500,306250
E09000008,Croydon,E01001114,Croydon 013E,325000,275000
E09000008,Croydon,E01001145,Croydon 008C,281750,205000
E09000025,Newham,E01003595,Newham 026B,270000,388000
E09000026,Redbridge,E01003732,Redbridge 032D,202500,
E09000002,Barking and Dagenham,E01000010,Barking and Dagenham 015C,220000,378000
E09000011,Greenwich,E01001694,Greenwich 001D,205000,
E09000017,Hillingdon,E01002505,Hillingdon 026D,245000,250000
E09000025,Newham,E01003577,Newham 005C,248000,
E09000011,Greenwich,E01001634,Greenwich 009C,183504,172500
E09000004,Bexley,E01000429,Bexley 008B,157750,252000
E09000028,Southwark,E01003971,Southwark 015D,420000,
E09000011,Greenwich,E01001631,Greenwich 007B,215000,
E09000017,Hillingdon,E01002550,Hillingdon 022E,230000,240000
E09000025,Newham,E01003591,Newham 004D,245000,275000
E09000010,Enfield,E01033150,Enfield 003G,244467,265000
E09000004,Bexley,E01000335,Bexley 003B,248000,319000
E09000025,Newham,E01003491,Newham 022A,300000,
E09000002,Barking and Dagenham,E01000061,Barking and Dagenham 006C,,
E09000023,Lewisham,E01003302,Lewisham 003D,290000,302500
E09000023,Lewisham,E01003244,Lewisham 001A,265000,482250
E09000010,Enfield,E01001508,Enfield 012E,260000,
E09000011,Greenwich,E01033739,Greenwich 002E,261000,
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,206000,325000
E09000025,Newham,E01003483,Newham 032A,,
E09000025,Newham,E01003517,Newham 036E,,
E09000026,Redbridge,E01003688,Redbridge 030F,275000,
E09000004,Bexley,E01000469,Bexley 001D,237500,328000
E09000002,Barking and Dagenham,E01000060,Barking and Dagenham 006B,275000,325000
E09000002,Barking and Dagenham,E01033587,Barking and Dagenham 021E,235000,240000
E09000004,Bexley,E01000333,Bexley 003A,242000,318000
E09000010,Enfield,E01033146,Enfield 025F,297000,192000
E09000023,Lewisham,E01003354,Lewisham 026D,217500,423500
E09000010,Enfield,E01001414,Enfield 004E,,
E09000011,Greenwich,E01033744,Greenwich 007G,299248,355000
E09000023,Lewisham,E01003190,Lewisham 034B,300000,475000
E09000004,Bexley,E01000336,Bexley 003C,220250,227500
E09000025,Newham,E01003509,Newham 031C,285000,300000
E09000010,Enfield,E01001460,Enfield 024B,210500,240000
E09000014,Haringey,E01002092,Haringey 006B,212500,221000
E09000010,Enfield,E01001431,Enfield 033A,242500,
E09000016,Havering,E01002316,Havering 004F,220000,267500
E09000016,Havering,E01002281,Havering 002C,350000,361500
E09000026,Redbridge,E01003761,Redbridge 009C,169342,
E09000018,Hounslow,E01002596,Hounslow 027A,213500,232000
E09000008,Croydon,E01001178,Croydon 015D,209500,
E09000025,Newham,E01003479,Newham 035A,240000,332000
E09000011,Greenwich,E01033740,Greenwich 002F,246000,355000
E09000010,Enfield,E01001515,Enfield 015E,274250,352000
E09000011,Greenwich,E01001688,Greenwich 002B,233500,285000
E09000025,Newham,E01003499,Newham 030A,270000,345000
E09000008,Croydon,E01001110,Croydon 020D,262101,282500
E09000010,Enfield,E01001507,Enfield 012D,193000,246000
E09000016,Havering,E01002345,Havering 030B,200000,337500
E09000016,Havering,E01032741,Havering 013E,255000,270000
E09000006,Bromley,E01000720,Bromley 019B,280000,295000
E09000011,Greenwich,E01001705,Greenwich 005A,362500,428000
E09000002,Barking and Dagenham,E01000095,Barking and Dagenham 018E,265750,
E09000008,Croydon,E01001006,Croydon 016A,262250,309000
E09000008,Croydon,E01001061,Croydon 034D,222500,242500
E09000008,Croydon,E01001117,Croydon 015C,242500,311250
E09000011,Greenwich,E01001576,Greenwich 003B,286000,345000
E09000011,Greenwich,E01001687,Greenwich 002A,252500,
E09000011,Greenwich,E01001697,Greenwich 011C,302000,
E09000011,Greenwich,E01001699,Greenwich 015B,210500,445000
E09000014,Haringey,E01002036,Haringey 002A,230000,452500
E09000018,Hounslow,E01002604,Hounslow 026A,,
E09000018,Hounslow,E01002637,Hounslow 005C,277500,432500
E09000025,Newham,E01003508,Newham 031B,302500,386950
E09000026,Redbridge,E01033589,Redbridge 030H,250000,
E09000024,Merton,E01003379,Merton 018C,255000,272500
E09000008,Croydon,E01001113,Croydon 013D,270000,309750
E09000008,Croydon,E01001051,Croydon 030A,,282000
E09000002,Barking and Dagenham,E01000058,Barking and Dagenham 018D,306000,292500
E09000010,Enfield,E01001430,Enfield 030E,285000,
E09000016,Havering,E01002297,Havering 004D,290000,288500
E09000008,Croydon,E01001155,Croydon 010E,267500,375000
E09000004,Bexley,E01000433,Bexley 008F,192000,329000
E09000010,Enfield,E01001549,Enfield 006D,194995,
E09000016,Havering,E01002282,Havering 004B,260000,342500
E09000029,Sutton,E01004140,Sutton 012B,232500,243000
E09000002,Barking and Dagenham,E01000089,Barking and Dagenham 020D,275000,313000
E09000003,Barnet,E01000126,Barnet 026A,332000,
E09000002,Barking and Dagenham,E01000028,Barking and Dagenham 001B,295000,338000
E09000032,Wandsworth,E01004574,Wandsworth 013B,,
E09000002,Barking and Dagenham,E01000082,Barking and Dagenham 007E,261000,310000
E09000008,Croydon,E01001170,Croydon 027E,299000,290750
E09000014,Haringey,E01032575,Haringey 037D,297500,280000
E09000016,Havering,E01002314,Havering 004E,295000,310000
E09000025,Newham,E01003629,Newham 015E,360000,340000
E09000008,Croydon,E01001136,Croydon 007A,265000,302500
E09000010,Enfield,E01001445,Enfield 003B,305000,270000
E09000008,Croydon,E01001147,Croydon 005A,286000,292500
E09000016,Havering,E01002356,Havering 013C,237500,235000
E09000014,Haringey,E01002074,Haringey 012A,341000,350000
E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,233000,302500
E09000002,Barking and Dagenham,E01000094,Barking and Dagenham 022C,210000,298000
E09000014,Haringey,E01002054,Haringey 032B,392500,
E09000031,Waltham Forest,E01004467,Waltham Forest 015D,327500,367500
E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,250000,213000
E09000016,Havering,E01002342,Havering 030A,291000,340500
E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,305000,310000
E09000002,Barking and Dagenham,E01000085,Barking and Dagenham 013E,278000,310000
E09000002,Barking and Dagenham,E01000090,Barking and Dagenham 020E,300000,320000
E09000004,Bexley,E01000405,Bexley 004C,299995,300000
E09000006,Bromley,E01000725,Bromley 023B,309250,350000
E09000008,Croydon,E01001042,Croydon 024B,307500,271250
E09000009,Ealing,E01001216,Ealing 023D,297500,
E09000011,Greenwich,E01001629,Greenwich 009A,267500,300000
E09000011,Greenwich,E01033735,Greenwich 004G,228000,202500
E09000011,Greenwich,E01033745,Greenwich 002I,270000,328750
E09000012,Hackney,E01001729,Hackney 019A,350000,
E09000012,Hackney,E01001788,Hackney 013C,265000,
E09000017,Hillingdon,E01002519,Hillingdon 022D,223475,322500
E09000018,Hounslow,E01002666,Hounslow 021E,405000,361000
E09000025,Newham,E01003582,Newham 002C,315500,
E09000008,Croydon,E01001013,Croydon 020B,260000,
E09000002,Barking and Dagenham,E01000112,Barking and Dagenham 002E,207500,365000
E09000004,Bexley,E01000435,Bexley 010E,235000,320000
E09000004,Bexley,E01000468,Bexley 001C,250750,315750
E09000006,Bromley,E01000719,Bromley 019A,263000,293250
E09000009,Ealing,E01001331,Ealing 009E,261225,205000
E09000004,Bexley,E01000424,Bexley 026A,280000,294000
E09000005,Brent,E01000477,Brent 026D,281250,282000
E09000009,Ealing,E01001324,Ealing 008B,245975,402500
E09000009,Ealing,E01032744,Ealing 010G,235000,224750
E09000029,Sutton,E01004186,Sutton 004D,262000,283500
E09000026,Redbridge,E01003768,Redbridge 024C,206000,227500
E09000002,Barking and Dagenham,E01000057,Barking and Dagenham 012A,264000,329000
E09000025,Newham,E01003590,Newham 003D,264500,485000
E09000026,Redbridge,E01003718,Redbridge 034E,190000,454750
E09000010,Enfield,E01001441,Enfield 006B,348000,360000
E09000010,Enfield,E01001462,Enfield 024C,227500,327000
E09000031,Waltham Forest,E01004328,Waltham Forest 028B,425000,528000
E09000016,Havering,E01002361,Havering 020C,265000,357500
E09000016,Havering,E01002380,Havering 012E,262000,335500
E09000004,Bexley,E01000431,Bexley 008D,277500,
E09000025,Newham,E01003551,Newham 009A,415000,
E09000002,Barking and Dagenham,E01000072,Barking and Dagenham 017E,250000,302500
E09000011,Greenwich,E01001653,Greenwich 029A,285000,305000
E09000002,Barking and Dagenham,E01000045,Barking and Dagenham 017C,260000,311000
E09000002,Barking and Dagenham,E01000053,Barking and Dagenham 020A,262000,221750
E09000002,Barking and Dagenham,E01000076,Barking and Dagenham 012E,278000,276750
E09000002,Barking and Dagenham,E01000077,Barking and Dagenham 008F,280000,310000
E09000002,Barking and Dagenham,E01000086,Barking and Dagenham 013F,280000,
E09000008,Croydon,E01001130,Croydon 025C,,
E09000011,Greenwich,E01001655,Greenwich 029C,285000,
E09000014,Haringey,E01002037,Haringey 002B,385000,
E09000017,Hillingdon,E01002521,Hillingdon 016C,361000,327500
E09000011,Greenwich,E01001577,Greenwich 003C,322000,338500
E09000002,Barking and Dagenham,E01000064,Barking and Dagenham 006E,270000,265000
E09000002,Barking and Dagenham,E01000088,Barking and Dagenham 020C,262500,332500
E09000008,Croydon,E01001181,Croydon 015E,287500,331500
E09000011,Greenwich,E01033741,Greenwich 002G,225000,340000
E09000025,Newham,E01003496,Newham 027A,325000,
E09000025,Newham,E01003540,Newham 029C,258500,375000
E09000016,Havering,E01002291,Havering 023B,342500,415000
E09000025,Newham,E01003611,Newham 037C,197500,
E09000026,Redbridge,E01003735,Redbridge 033C,247500,
E09000002,Barking and Dagenham,E01000054,Barking and Dagenham 018A,292500,335000
E09000006,Bromley,E01000744,Bromley 009B,280250,310000
E09000031,Waltham Forest,E01033153,Waltham Forest 020G,331100,340000
E09000029,Sutton,E01004090,Sutton 021A,256975,
E09000002,Barking and Dagenham,E01000063,Barking and Dagenham 004A,295000,307250
E09000005,Brent,E01000613,Brent 013E,255000,
E09000008,Croydon,E01001080,Croydon 036C,,
E09000009,Ealing,E01001332,Ealing 008E,295000,330000
E09000018,Hounslow,E01033030,Hounslow 025G,226500,237000
E09000002,Barking and Dagenham,E01000101,Barking and Dagenham 004C,292635,315000
E09000008,Croydon,E01001144,Croydon 007E,295000,340982
E09000010,Enfield,E01001447,Enfield 003C,319995,347000
E09000016,Havering,E01032742,Havering 013F,263000,432500
E09000023,Lewisham,E01003265,Lewisham 031B,280000,272000
E09000032,Wandsworth,E01004570,Wandsworth 023B,350000,
E09000017,Hillingdon,E01002490,Hillingdon 030D,425000,375000
E09000016,Havering,E01002249,Havering 017D,246500,370000
E09000010,Enfield,E01001409,Enfield 005B,270000,400000
E09000011,Greenwich,E01001695,Greenwich 011A,,
E09000014,Haringey,E01002095,Haringey 006D,380500,412500
E09000008,Croydon,E01001191,Croydon 008D,228000,323750
E09000025,Newham,E01003587,Newham 004C,320000,307500
E09000031,Waltham Forest,E01004340,Waltham Forest 027E,270000,440000
E09000010,Enfield,E01001425,Enfield 027B,247000,
E09000012,Hackney,E01001790,Hackney 013D,305000,
E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,290000,309000
E09000002,Barking and Dagenham,E01000025,Barking and Dagenham 008E,297100,320000
E09000002,Barking and Dagenham,E01000033,Barking and Dagenham 006A,296000,347000
E09000002,Barking and Dagenham,E01000046,Barking and Dagenham 017D,290000,345000
E09000002,Barking and Dagenham,E01000065,Barking and Dagenham 007A,292500,322500
E09000002,Barking and Dagenham,E01000102,Barking and Dagenham 007G,297250,305000
E09000004,Bexley,E01000338,Bexley 003E,310000,300000
E09000004,Bexley,E01000432,Bexley 008E,330000,358000
E09000006,Bromley,E01000800,Bromley 009E,265000,397500
E09000008,Croydon,E01001151,Croydon 005C,284000,260000
E09000014,Haringey,E01001978,Haringey 011C,314000,340000
E09000016,Havering,E01002280,Havering 004A,285000,
E09000016,Havering,E01002312,Havering 001C,307500,375000
E09000016,Havering,E01002370,Havering 028C,305000,390000
E09000028,Southwark,E01003920,Southwark 021B,355000,380000
E09000028,Southwark,E01004014,Southwark 019E,314950,340000
E09000029,Sutton,E01004096,Sutton 021B,248500,263500
E09000004,Bexley,E01000365,Bexley 015C,290000,400500
E09000004,Bexley,E01000418,Bexley 002B,314528,298000
E09000002,Barking and Dagenham,E01000041,Barking and Dagenham 017A,267500,370000
E09000002,Barking and Dagenham,E01000059,Barking and Dagenham 013C,302000,305000
E09000002,Barking and Dagenham,E01000099,Barking and Dagenham 023E,250000,326250
E09000011,Greenwich,E01001621,Greenwich 025B,286500,310000
E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,290000,297000
E09000018,Hounslow,E01033084,Hounslow 018G,325000,370000
E09000022,Lambeth,E01003087,Lambeth 031E,330750,335000
E09000002,Barking and Dagenham,E01000055,Barking and Dagenham 018B,290000,308000
E09000004,Bexley,E01000401,Bexley 013A,286000,394000
E09000008,Croydon,E01001000,Croydon 010B,272500,380000
E09000016,Havering,E01002315,Havering 006D,285000,335000
E09000026,Redbridge,E01003783,Redbridge 029A,267500,
E09000029,Sutton,E01004141,Sutton 012C,283000,281000
E09000023,Lewisham,E01003263,Lewisham 023A,369000,387500
E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,290000,312500
E09000006,Bromley,E01000743,Bromley 009A,308000,397500
E09000011,Greenwich,E01001672,Greenwich 006A,290000,312500
E09000017,Hillingdon,E01002542,Hillingdon 020D,293000,405000
E09000023,Lewisham,E01032564,Lewisham 037E,312500,326500
E09000025,Newham,E01003570,Newham 008C,317500,
E09000028,Southwark,E01003924,Southwark 021E,321000,
E09000029,Sutton,E01004172,Sutton 010B,277000,270000
E09000029,Sutton,E01004183,Sutton 001B,305000,345000
E09000002,Barking and Dagenham,E01000081,Barking and Dagenham 007D,305000,315500
E09000002,Barking and Dagenham,E01000083,Barking and Dagenham 007F,290000,330000
E09000002,Barking and Dagenham,E01000100,Barking and Dagenham 004B,305000,312000
E09000004,Bexley,E01000378,Bexley 019E,282500,260000
E09000008,Croydon,E01000998,Croydon 010A,274000,277000
E09000012,Hackney,E01001757,Hackney 016C,378500,373000
E09000018,Hounslow,E01002650,Hounslow 021B,272473,375000
E09000024,Merton,E01003410,Merton 012E,285000,358000
E09000025,Newham,E01003631,Newham 020A,340000,403000
E09000025,Newham,E01003636,Newham 020E,325000,330000
E09000026,Redbridge,E01003788,Redbridge 029D,213500,224500
E09000004,Bexley,E01000368,Bexley 010B,280000,340000
E09000009,Ealing,E01001373,Ealing 037G,268000,
E09000010,Enfield,E01033148,Enfield 003F,285000,370000
E09000011,Greenwich,E01001700,Greenwich 011D,335000,366000
E09000023,Lewisham,E01003248,Lewisham 002B,304500,
E09000025,Newham,E01003624,Newham 024E,358000,
E09000023,Lewisham,E01003303,Lewisham 039C,300000,412500
E09000029,Sutton,E01004150,Sutton 021C,317500,335000
E09000004,Bexley,E01000428,Bexley 027D,256000,287000
E09000024,Merton,E01003392,Merton 013D,301000,451250
E09000002,Barking and Dagenham,E01000062,Barking and Dagenham 006D,294000,328000
E09000010,Enfield,E01001442,Enfield 002A,245000,220000
E09000006,Bromley,E01000740,Bromley 005A,310000,352500
E09000016,Havering,E01002360,Havering 020B,267000,462500
E09000002,Barking and Dagenham,E01000023,Barking and Dagenham 008C,262500,275000
E09000002,Barking and Dagenham,E01000056,Barking and Dagenham 018C,245000,313500
E09000002,Barking and Dagenham,E01000074,Barking and Dagenham 012C,287500,328005
E09000002,Barking and Dagenham,E01000078,Barking and Dagenham 007B,275000,307500
E09000002,Barking and Dagenham,E01000084,Barking and Dagenham 013D,289000,318000
E09000002,Barking and Dagenham,E01000103,Barking and Dagenham 014A,275000,303500
E09000004,Bexley,E01000434,Bexley 008G,283000,300000
E09000006,Bromley,E01000737,Bromley 010D,283000,367500
E09000008,Croydon,E01000995,Croydon 009B,280000,425000
E09000010,Enfield,E01001437,Enfield 014A,307498,302000
E09000011,Greenwich,E01001579,Greenwich 003E,315000,337500
E09000011,Greenwich,E01001654,Greenwich 029B,406000,385000
E09000014,Haringey,E01002078,Haringey 015C,361998,360000
E09000016,Havering,E01002284,Havering 004C,302750,346500
E09000016,Havering,E01002306,Havering 003D,258500,345000
E09000025,Newham,E01033584,Newham 034I,285000,325000
E09000028,Southwark,E01004003,Southwark 023B,292250,397750
E09000029,Sutton,E01004083,Sutton 019A,320000,295000
E09000029,Sutton,E01004169,Sutton 004C,295000,285000
E09000004,Bexley,E01000406,Bexley 005C,256995,290000
E09000016,Havering,E01002308,Havering 005C,305000,330000
E09000004,Bexley,E01000381,Bexley 028A,297000,400000
E09000011,Greenwich,E01033729,Greenwich 030E,430000,387500
E09000002,Barking and Dagenham,E01032580,Barking and Dagenham 023F,,
E09000017,Hillingdon,E01002449,Hillingdon 032C,213475,305000
E09000028,Southwark,E01003947,Southwark 033C,298000,
E09000029,Sutton,E01004089,Sutton 019D,221000,217000
E09000002,Barking and Dagenham,E01000079,Barking and Dagenham 009E,280000,290000
E09000004,Bexley,E01000430,Bexley 008C,265000,295000
E09000008,Croydon,E01001035,Croydon 027A,262000,290050
E09000008,Croydon,E01001012,Croydon 020A,201000,270000
E09000010,Enfield,E01001509,Enfield 014C,217500,
E09000011,Greenwich,E01001613,Greenwich 028A,284500,305000
E09000016,Havering,E01002311,Havering 006C,306000,345000
E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,311750,300000
E09000002,Barking and Dagenham,E01000080,Barking and Dagenham 007C,279000,323750
E09000008,Croydon,E01001059,Croydon 034B,255000,300000
E09000025,Newham,E01003606,Newham 022D,392600,394500
E09000025,Newham,E01003630,Newham 021C,330000,
E09000002,Barking and Dagenham,E01000027,Barking and Dagenham 001A,300000,340000
E09000004,Bexley,E01000408,Bexley 004D,287000,320000
E09000009,Ealing,E01001336,Ealing 038C,352500,392500
E09000016,Havering,E01002283,Havering 002D,293000,337500
E09000017,Hillingdon,E01002447,Hillingdon 031C,210000,250000
E09000024,Merton,E01003390,Merton 018D,206000,
E09000026,Redbridge,E01003728,Redbridge 032A,275000,240000
E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,300000,327500
E09000002,Barking and Dagenham,E01000073,Barking and Dagenham 012B,290000,315000
E09000016,Havering,E01002264,Havering 026E,301000,293500
E09000011,Greenwich,E01001671,Greenwich 033B,320000,350000
E09000016,Havering,E01002346,Havering 030C,274998,320000
E09000011,Greenwich,E01001578,Greenwich 003D,283500,
E09000031,Waltham Forest,E01004407,Waltham Forest 013A,282500,335000
E09000006,Bromley,E01000806,Bromley 009F,345000,355000
E09000010,Enfield,E01001424,Enfield 030A,269250,
E09000018,Hounslow,E01002605,Hounslow 026B,247500,280000
E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,294000,330000
E09000002,Barking and Dagenham,E01000022,Barking and Dagenham 008B,290000,347500
E09000003,Barnet,E01000195,Barnet 013A,245500,234500
E09000004,Bexley,E01000326,Bexley 014B,276000,310000
E09000006,Bromley,E01000729,Bromley 014A,380000,340000
E09000006,Bromley,E01000730,Bromley 014B,305000,350000
E09000008,Croydon,E01000978,Croydon 022D,273333,273500
E09000008,Croydon,E01001043,Croydon 027B,269950,350000
E09000008,Croydon,E01001060,Croydon 034C,305000,327500
E09000008,Croydon,E01001140,Croydon 007C,315000,347500
E09000008,Croydon,E01001168,Croydon 024E,285000,337500
E09000011,Greenwich,E01001575,Greenwich 003A,302000,325250
E09000011,Greenwich,E01001698,Greenwich 015A,298500,
E09000017,Hillingdon,E01002529,Hillingdon 029C,290000,407500
E09000018,Hounslow,E01002624,Hounslow 017A,267500,
E09000022,Lambeth,E01003065,Lambeth 031A,333000,504750
E09000025,Newham,E01003578,Newham 003A,320000,
E09000025,Newham,E01003580,Newham 005D,285000,280250
E09000026,Redbridge,E01003753,Redbridge 020B,235000,257500
E09000026,Redbridge,E01003781,Redbridge 026A,297975,
E09000032,Wandsworth,E01004524,Wandsworth 037D,326250,321500
E09000002,Barking and Dagenham,E01000024,Barking and Dagenham 008D,302750,327000
E09000018,Hounslow,E01002559,Hounslow 023C,244000,397000
E09000004,Bexley,E01000376,Bexley 019C,301000,332500
E09000016,Havering,E01002375,Havering 028E,300000,340000
E09000022,Lambeth,E01003075,Lambeth 009C,295000,410000
E09000025,Newham,E01003515,Newham 036D,307000,
E09000025,Newham,E01003524,Newham 019D,348500,410000
E09000029,Sutton,E01004162,Sutton 018E,300000,320000
E09000029,Sutton,E01004177,Sutton 020C,260000,255000
E09000018,Hounslow,E01002592,Hounslow 022D,272500,362000
E09000004,Bexley,E01000337,Bexley 003D,300000,320000
E09000004,Bexley,E01000457,Bexley 026D,262000,294000
E09000004,Bexley,E01000462,Bexley 026E,325000,438250
E09000011,Greenwich,E01033743,Greenwich 002H,268000,290000
E09000008,Croydon,E01001047,Croydon 027D,317550,313000
E09000016,Havering,E01002276,Havering 001A,290000,550000
E09000002,Barking and Dagenham,E01000091,Barking and Dagenham 022A,247500,347500
E09000004,Bexley,E01000375,Bexley 019B,255500,325000
E09000009,Ealing,E01032743,Ealing 010F,273000,268500
E09000025,Newham,E01003522,Newham 018C,292000,
E09000025,Newham,E01033585,Newham 034J,375000,350000
E09000008,Croydon,E01001001,Croydon 013A,296995,321500
E09000016,Havering,E01002279,Havering 002B,285000,350000
E09000026,Redbridge,E01032581,Redbridge 034G,228500,315500
E09000011,Greenwich,E01001632,Greenwich 007C,275000,417000
E09000002,Barking and Dagenham,E01000052,Barking and Dagenham 019D,295000,310000
E09000004,Bexley,E01000386,Bexley 028D,252000,292000
E09000007,Camden,E01000947,Camden 021C,534600,692500
E09000029,Sutton,E01004151,Sutton 021D,317500,340000
E09000004,Bexley,E01000385,Bexley 028C,285000,355000
E09000008,Croydon,E01001055,Croydon 032B,,303500
E09000008,Croydon,E01001180,Croydon 016E,306120,287500
E09000008,Croydon,E01001183,Croydon 011E,356000,
E09000010,Enfield,E01001486,Enfield 025C,350000,
E09000011,Greenwich,E01001574,Greenwich 008D,255000,
E09000025,Newham,E01003484,Newham 032B,265000,345000
E09000008,Croydon,E01001109,Croydon 013B,292500,300000
E09000002,Barking and Dagenham,E01000030,Barking and Dagenham 001D,290000,365000
E09000018,Hounslow,E01002606,Hounslow 026C,322500,330000
E09000018,Hounslow,E01002613,Hounslow 024F,280500,425000
E09000023,Lewisham,E01003298,Lewisham 039A,327500,
E09000025,Newham,E01003514,Newham 036C,382000,465000
E09000029,Sutton,E01004153,Sutton 021E,327000,315500
E09000002,Barking and Dagenham,E01000075,Barking and Dagenham 012D,342500,352500
E09000002,Barking and Dagenham,E01000087,Barking and Dagenham 020B,290000,295500
E09000008,Croydon,E01000977,Croydon 022C,255000,301000
E09000008,Croydon,E01001048,Croydon 020C,305000,315000
E09000008,Croydon,E01001082,Croydon 032E,318975,312500
E09000008,Croydon,E01001176,Croydon 011C,330000,412000
E09000011,Greenwich,E01001709,Greenwich 004B,,
E09000012,Hackney,E01001730,Hackney 019B,302500,415000
E09000012,Hackney,E01001740,Hackney 014A,440000,430000
E09000016,Havering,E01002310,Havering 006B,294000,290000
E09000023,Lewisham,E01003351,Lewisham 026C,325000,340000
E09000024,Merton,E01003407,Merton 008E,310000,272500
E09000025,Newham,E01003523,Newham 024A,373000,310000
E09000025,Newham,E01003538,Newham 029A,237500,293750
E09000028,Southwark,E01004037,Southwark 010B,325000,327500
E09000030,Tower Hamlets,E01004241,Tower Hamlets 012B,,500000
E09000031,Waltham Forest,E01004334,Waltham Forest 024B,,415000
E09000031,Waltham Forest,E01004425,Waltham Forest 022C,350000,407500
E09000016,Havering,E01002277,Havering 002A,305000,362050
E09000005,Brent,E01000472,Brent 029A,315000,340500
E09000026,Redbridge,E01033591,Redbridge 030I,307000,387500
E09000016,Havering,E01002251,Havering 017F,322000,369000
E09000006,Bromley,E01000782,Bromley 001D,300000,354000
E09000023,Lewisham,E01032565,Lewisham 038E,305000,325000
E09000023,Lewisham,E01003266,Lewisham 031C,273995,315000
E09000008,Croydon,E01001112,Croydon 013C,250000,270000
E09000006,Bromley,E01000781,Bromley 001C,318000,325000
E09000008,Croydon,E01001041,Croydon 031C,315000,281725
E09000014,Haringey,E01002066,Haringey 025A,207500,
E09000024,Merton,E01003427,Merton 023A,330000,328000
E09000029,Sutton,E01004103,Sutton 013B,316250,335250
E09000029,Sutton,E01004178,Sutton 017D,274250,387500
E09000031,Waltham Forest,E01004336,Waltham Forest 026A,435000,478500
E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,305000,337000
E09000011,Greenwich,E01001646,Greenwich 019A,280000,286125
E09000015,Harrow,E01002231,Harrow 013E,420000,427250
E09000008,Croydon,E01001171,Croydon 028C,310000,355000
E09000014,Haringey,E01002100,Haringey 008B,474250,470000
E09000016,Havering,E01002358,Havering 016E,277000,350000
E09000025,Newham,E01003599,Newham 022C,355000,349250
E09000009,Ealing,E01001215,Ealing 023C,263000,397500
E09000014,Haringey,E01002046,Haringey 026C,327498,430000
E09000005,Brent,E01000603,Brent 021D,230000,
E09000017,Hillingdon,E01002404,Hillingdon 024E,280000,395000
E09000017,Hillingdon,E01002554,Hillingdon 022F,291000,376000
E09000018,Hounslow,E01002601,Hounslow 027B,258750,260000
E09000002,Barking and Dagenham,E01000097,Barking and Dagenham 023C,300000,332000
E09000008,Croydon,E01001078,Croydon 032D,280975,331000
E09000016,Havering,E01002250,Havering 017E,305000,347500
E09000004,Bexley,E01000374,Bexley 019A,307500,336000
E09000005,Brent,E01000483,Brent 009D,302000,328750
E09000008,Croydon,E01001116,Croydon 013F,326000,387500
E09000008,Croydon,E01001166,Croydon 024D,295500,351633
E09000009,Ealing,E01001329,Ealing 009D,315000,422500
E09000014,Haringey,E01002045,Haringey 026B,390000,580000
E09000015,Harrow,E01002213,Harrow 027D,258500,277000
E09000016,Havering,E01002258,Havering 018C,268250,376000
E09000023,Lewisham,E01032579,Lewisham 039E,316000,348000
E09000026,Redbridge,E01003681,Redbridge 036G,307000,565000
E09000026,Redbridge,E01003758,Redbridge 023D,277500,310000
E09000029,Sutton,E01004109,Sutton 024D,305000,510000
E09000029,Sutton,E01004170,Sutton 017B,290000,295000
E09000029,Sutton,E01004181,Sutton 020E,285000,285000
